id,name,year,number_of_contributions,cnum
1357486,38th International Conference on High Energy Physics,2016,653,C16-08-03
1677252,40th International Conference on High Energy Physics,2020,565,C20-07-30
1773388,64th DAE BRNS Symposium on nuclear physics,2019,533,C19-12-23
2011471,65th DAE BRNS Symposium on nuclear physics,2021,352,C21-12-01.1
1382888,27th International Conference on Neutrino Physics and Astrophysics,2016,252,C16-07-04.2
1383018,24th International Workshop on Deep-Inelastic Scattering and Related Subjects,2016,205,C16-04-11
1774220,28th International Conference on Ultrarelativistic Nucleus-Nucleus Collisions,2019,200,C19-11-04.1
2662777,19th Annual Meeting of the Particle Accelerator Society of Japan,2022,192,C22-10-18.1
1369263,37th International Free Electron Laser Conference,2015,179,C15-08-23.1
1357483,12th International Conference on Nucleus-Nucleus Collisions,2015,158,C15-06-21.1
1369181,4th International Beam Instrumentation Conference,2015,144,C15-09-13.2
1382691,14th Vienna Conference on Instrumentation,2016,128,C16-02-15
1357489,21st International Conference on Few-Body Problems in Physics,2015,123,C15-05-18.5
1407885,12th International Conference on Hypernuclear and Strange Particle Physics,2015,122,C15-09-07.6
1357495,4th International Conference on New Frontiers in Physics,2015,113,C15-08-23
1369259,Topical Workshop on Electronics for Particle Physics,2015,112,C15-09-28
1774381,3rd International Symposium on Science at J-PARC,2019,110,C19-09-23.6
1768135,19th Lomonosov Conference on Elementary Particle Physics,2019,100,C19-08-22
1975947,11th Mechanical Engineering Design of Synchrotron Radiation Equipment and Instrumentation,2021,94,C21-07-26.4
1357478,17th Lomonosov Conference on Elementary Particle Physics,2015,93,C15-08-20
1677992,61st ICFA Advanced Beam Dynamics Workshop on High-Intensity and High-Brightness Hadron Beams,2018,89,C18-06-17.1
1774214,International Bogolyubov Conference Problems of Theoretical and Mathematical Physics,2019,81,C19-09-09.6
1677071,53rd Rencontres de Moriond on Cosmology,2018,81,C18-03-17.1
1955236,Topical Workshop on Electronics for Particle Physics,2021,80,C21-09-20.8
1384629,17th International Workshop on Advanced Computing and Analysis Techniques in Physics Research,2016,78,C16-01-18.1
1413148,7th Very Large Volume Neutrino Telescope Workshop,2015,78,C15-09-14.6
1976037,16th International Symposium on Nuclei in the Cosmos,2021,76,C21-09-21.1
1762664,21st International Workshop on Neutrinos from Accelerators,2019,72,C19-08-26.4
1681520,17th Incontri di Fisica delle Alte Energie,2018,72,C18-04-04.3
1376980,10th International Workshop on the Physics of Excited Nucleons,2015,70,C15-05-25.5
1386356,24th Conference on High Energy Physics,2015,67,C15-04-08.1
1768131,4th European Advanced Accelerator Concepts Workshop,2019,67,C19-09-15.4
1992413,2021 IEEE Nuclear Science Symposium (NSS) and Medical Imaging Conference (MIC) and 28th International Symposium on Room-Temperature Semiconductor Detectors,2021,66,C21-10-16.1
2005422,2021 IEEE International Conference on Quantum Computing and Engineering,2021,66,C21-10-17.1
2646346,SPIE Photonics West,2023,60,C23-01-28
1375351,16th International Workshop on Neutrino Telescopes,2015,59,C15-03-02.3
1384024,7th International Workshop on Multiple Partonic Interactions at the LHC,2015,56,C15-11-23
2630390,108th Congresso Nazionale della Societa Italiana di Fisica,2022,56,C22-09-12.12
1407243,8th International Workshop on Semiconductor Pixel Detectors for Particles and Imaging,2016,55,C16-09-05.3
1957645,17th Conference on Nuclear Physics in China,2019,53,C19-10-08.1
1989691,14th International Workshop on Lie Theory and Its Applications in Physics,2021,53,C21-06-20.3
1764032,15th International Symposium on Radiative Corrections: Applications of Quantum Field Theory to Phenomenology AND LoopFest XIX: Workshop on Radiative Corrections for the LHC and Future Colliders,2021,53,C21-05-16
1677074,14th Workshop on Resistive Plate Chambers and Related Detectors,2018,51,C18-02-19.3
1415166,8th International Workshop on QCD - Theory and Experiment,2016,50,C16-06-27.3
1370569,34th Mazurian Lakes Conference on Physics,2015,49,C15-09-06
2630046,"Spacetime, Matter, Quantum Mechanics",2022,49,C22-09-19.12
1385247,30th Rencontres de Physique de La Vallée d'Aoste,2016,48,C16-03-06.1
2079305,Diffraction and Low-x 2022,2022,48,C22-09-24
1377452,12th International Conference on Low Energy Antiproton Physics,2016,47,C16-03-06
1386780,"12th International Conference on Beauty, Charm, and Hyperons in Hadronic Interactions",2016,46,C16-06-12
2637077,2nd Electronic Conference on Universe,2023,46,C23-02-16
1958404,16th China National Conference on Nuclear Physics,2016,45,C16-10-19.2
1384389,13th International Conference on Heavy Quarks and Leptons,2016,44,C16-05-22
1776769,24th International Scientific Conference of Young Scientists and Specialists,2020,44,C20-04-13.2
1778231,14th International Conference on Heavy Ion Accelerator Technology,2018,44,C18-10-22.7
1766251,9th Nuclear Physics in Astrophysics,2019,43,C19-09-15.3
1765903,13th International Workshop on Lie Theory and Its Applications in Physics,2019,42,C19-06-17.6
1776831,8th Evian Workshop on LHC beam operation,2017,42,C17-12-12.1
1384577,Gribov-85 Memorial Workshop on Theoretical Physics of XXI Century,2015,40,C15-06-17.2
1765905,21st International Workshop on Radiation Imaging Detectors,2019,40,C19-07-07.2
1764779,36th Mazurian Lakes Conference on Physics,2019,39,C19-09-01.3
2645122,Zakopane Conference on Nuclear Physics Extremes of the Nuclear Landscape,2022,39,C22-08-28.6
1411277,19th High-Energy Physics International Conference in Quantum Chromodynamics,2016,38,C16-07-04.3
1778269,23rd High-Energy Physics International Conference in Quantum Chromodynamics,2020,37,C20-07-07
1375350,4th International Conference on Advancements in Nuclear Instrumentation Measurement Methods and their Applications,2015,36,C15-04-20.3
1385195,4th FAIR NExt generation ScientistS,2016,36,C16-02-14.1
2665027,2023  Optical Fiber Communications Conference and Exhibition,2023,36,C23-03-05.1
1370516,"7th International Winter Workshop ""Excited QCD"" 2015",2015,35,C15-03-08
1357484,9th Joint International Hadron Structure '15 Conference,2015,35,C15-06-29.6
1776369,10th European Summer School on Experimental Nuclear Astrophysics,2019,35,C19-06-16.2
1411366,International Wokshop on Strong Field Problems in Quantum Theory,2016,35,C16-06-06.1
1382867,9th International Physics Conference of the Balkan Physical Union,2015,34,C15-08-24.3
2073618,28th Cracow EPIPHANY Conference on Recent Advances in Astroparticle Physics,2022,34,C22-01-10.5
2665539,Workshop on Polarized Sources Targets and Polarimetry 2022,2022,34,C22-09-26.7
1409580,13th International Symposium on Origin of Matter and Evolution of the Galaxies,2015,33,C15-06-24.5
2632633,29th Cracow Epiphany Conference on Physics at the Electron-Ion Collider and Future Facilities,2023,32,C23-01-16
1680336,9th European Summer School on Experimental Nuclear Astrophysics,2017,32,C17-09-17.2
1939199,56th Rencontres de Moriond  on QCD and High Energy Interactions ,2022,31,C22-03-19
2647550,13th International Spring Seminar on Nuclear Physics Perspectives and Challenges in Nuclear Structure after 70 Years of Shell Model,2022,31,C22-04-14
2631257,11th European Summer School on Experimental Nuclear Astrophysics,2022,31,C22-06-12
1411368,Physics Prospects for Linear and other Future Colliders after the Discovery of the Higgs,2015,31,C15-09-07.7
1408817,11th International Workshop on Lie Theory and Its Applications in Physics,2015,30,C15-06-15.6
1386354,Matrix Elements for the Double-beta-decay EXperiments,2015,29,C15-06-09
1939198,56th Rencontres de Moriond on Electroweak Interactions and Unified Theories,2022,29,C22-03-12
2009424,8th Topical Workshop on Low Radioactivity Techniques,2022,29,C22-06-13.2
2085610,8th Conference of the Polish Society on Relativity,2022,29,C22-09-19.6
1412256,2nd ICRANet CÉSAR LATTES MEETING,2015,29,C15-04-13.5
1677561,Scientific Workshop on Nuclear Fission dynamics and the Emission of Prompt Neutrons and Gamma Rays,2017,29,C17-06-20.1
1406037,"6th Workshop on Theory, Phenomenology and Experiments in Flavour Physics",2016,28,C16-06-11
2082885,Aspects of Symmetry,2021,27,C21-11-08.5
1408943,9th Cosmic Ray International Seminar,2015,27,C15-09-14.5
1678395,34th Winter Workshop on Nuclear Dynamics,2018,27,C18-03-25
1949785,"International Workshop ""Shapes and Dynamics of Atomic Nuclei: Contemporary Aspects""",2021,26,C21-09-16.1
2009334,13th International Workshop on Beam Cooling and Related Topics,2021,26,C21-11-01.1
1357362,6th International Symposium on Symmetries in Subatomic Physics,2015,26,C15-06-08.5
1778625,6th International Symposium on Strong Electromagnetic Fields and Neutron Stars,2019,26,C19-05-09.1
1384063,2nd International Workshop on Prospects of Particle Physics,2015,25,C15-02-01
1939142,56th Rencontres de Moriond on Gravitation,2022,25,C22-01-30
1940831,35th Conference on Neural Information Processing Systems,2021,25,C21-12-06.2
1958311,17th National Conference on Nuclear Structure in China,2018,25,C18-07-08.2
1774218,"International Workshop ""Shapes and Dynamics of Atomic Nuclei: Contemporary Aspects""",2019,25,C19-10-03
2077378,35th Annual Meeting of the DPyC-SMF,2021,25,C21-05-11
2647692,"15th International Conference on Muon Spin Rotation, Relaxation and Resonance",2022,25,C22-08-28.7
1415009,22nd Nuclear Physics Workshop 'Marie & Pierre Curie' on Essential Problems in Nuclear Physics,2015,25,C15-09-22
1357363,9th International Conference on Interconnections between Particle Physics and Cosmology,2015,24,C15-06-29.5
1770525,International Conference PhysicA.SPb/2019,2019,24,C19-10-22.1
1778624,"5th Caribbean Symposium on Cosmology, Gravitation, Nuclear and Astroparticle Physics",2019,24,C19-05-06.6
1407887,Magellan Workshop,2016,24,C16-03-17
2652761,Bruno Touschek 100 Years,2021,23,C21-12-02.1
1676767,5th Biennial Workshop on Discovery Physics at the LHC,2018,23,C18-12-03.1
1366116,Workshop on high-precision alpha_s measurements: from LHC to FCC-ee,2015,22,C15-10-12.1
1766670,29th World Conference of the International Nuclear Target Development Society,2018,22,C18-10-08.8
2622560,Vulcano Workshop 2022 : Frontier Objects in Astrophysics and Particle Physics (FOAPP),2022,22,C22-09-25.3
1372171,International Workshop on Future Linear Colliders,2015,21,C15-11-02.1
1381122,12th International Symposium on Cosmology and Particle Astrophysics,2015,21,C15-10-12.3
1767301,30th Astronomical Data Analysis Software and Systems,2020,21,C20-11-08
2081427,International Conference on Micro- and Nano-Electronics 2021,2021,21,C21-10-04.9
2669556,2023 IEEE International Conference on Quantum Software,2023,21,C23-07-02.1
1680162,20th Chilean Physics Symposium,2016,21,C16-11-30.1
1768130,Strong dynamics for physics within and beyond the Standard Model at LHC and Future Colliders,2019,20,C19-09-09.4
2660708,13th Biennial Conference on Classical and Quantum Relativistic Dynamics of Particles and Fields,2022,20,C22-06-06.7
2009404,19th Mexican School on Particles and Fields,2021,19,C22-08-09
2614777,Workshop on New Scientific Scientific Opportunities with the TRIUMF ARIEL e-linac,2022,19,C22-05-25.2
1409178,Searching for the Sources of Galactic Cosmic Rays,2015,19,C15-01-21
1678778,13th Workshop on Particle Correlations and Femtoscopy,2018,19,C18-05-22
1681521,KMPB Conference,2017,19,C17-10-23.6
1766681,SPIE Optical Engineering + Applications,2019,18,C19-08-11
1773918,13th Radiation from Relativistic Electrons in Periodic Structures,2019,18,C19-09-16.8
2649155,8th International Symposium on Symmetries in Subatomic Physics,2022,18,C22-08-29.7
2620898,2022 IEEE/ACM 7th Symposium on Edge Computing,2022,18,C22-12-05.4
2000585,44th International Conference of Theoretical Physics,2021,17,C21-09-15.3
1765900,Workshop on Flavour changing and conserving processes,2019,17,C19-08-29
2077973,SPIE OPTO 2020,2020,17,C20-02-01
2657939,Strong interactions from QCD to new strong dynamics at LHC and Future Colliders,2022,17,C22-08-29.8
1961660,4th PU International Conference on Gravitation and Cosmology,2021,16,C21-11-22.4
2655196,Trends in Quantum Computing & Emerging Business Technologies,2022,16,C22-10-13
2625513,SPIE PHOTONEX,2022,16,C22-12-06
1408811,JLab Ingot Niobium CRADA Workshop,2015,16,C15-12-04
1410698,Connecting The Dots 2016,2016,16,C16-02-22.1
1937623,24th Workshop on What Comes Beyond the Standard Models?,2021,15,C21-07-05.9
2000603,European VLBI Network Mini-Symposium & Users' Meeting,2021,15,C21-07-12.3
2011675,9th Quantum Fest,2021,15,C21-10-25.2
1776846,International Conference on Precision Physics and Fundamental Physical Constants,2019,15,C19-06-09.2
2104510,39th International Conference on Machine Learning Conference,2022,15,C22-07-17.2
1677943,"17th International Workshop on Polarized Sources, Targets, and Polarimetry",2017,15,C17-10-16.5
1376981,38th Symposium on Nuclear Physics,2015,14,C15-01-06
2005416,67th Annual IEEE International Electron Devices Meeting,2021,14,C21-12-11
1771724,Siam Physics Congress 2019,2019,14,C19-06-06
1772425,"4th International Conference on Holography, String Theory and Discrete Approach in Hanoi, Vietnam",2020,14,C20-08-03.1
2662108,29th International Conference on Low Temperature Physics,2022,14,C22-08-18
2625942,15th EVN Symposium & Users Meeting,2022,14,C22-07-11.5
1681303,International Conference on Neutron Optics,2017,14,C17-07-05.2
1377867,52nd Winter School of Theoretical Physics,2016,13,C16-02-14
1382062,1st International  Workshop on Theoretical and Experimental Studies in Nuclear Applications and Technology,2015,13,C15-04-23.1
1958406,5th International Conference on Proton-emitting Nuclei,2015,13,C15-07-05.2
2003827,Springer International Conference on Trends in Modern Physics,2021,13,C21-02-26
1762674,14th Conference on Theoretical Physics and Nonlinear Phenomena,2018,13,C18-07-02.15
1776368,Mathematical Modeling and Computational Physics,2019,13,C19-07-01.8
2614780,Atmospheric Monitoring for High Energy Astroparticle Detectors 2022,2022,13,C22-07-13.1
2628711,3rd International Workshop on Quantum Computing Software,2022,13,C22-11-13.2
1958405,2016 Dalian International Workshop on Nuclear Physics,2016,12,C16-07-20.4
2005152,2nd International Workshop on Quantum Computing Software,2021,12,C21-11-15.3
2005417,65th IEEE International Electron Devices Meeting,2019,12,C19-12-09.3
1763406,International Conference on Recent Inventions and Innovations in Mathematical Sciences,2019,12,C19-02-28
1766679,"Photonics Applications in Astronomy, Communications, Industry, and High-Energy Physics Experiments 2019",2019,12,C19-05-27.6
2615703,13th International Conference on Information and Communication Technology Convergence,2022,12,C22-10-19
1678583,6th Saudi International Meeting on Frontiers of Physics,2018,12,C18-02-27
1995379,Low-x Workshop 2021,2021,11,C21-09-26.1
2009337,7th Conference of the Polish Society on Relativity,2021,11,C21-09-20.10
1770230,39th Polish Astronomical Society Assembly,2019,11,C19-09-09.5
2080269,SPIE OPTICS + PHOTONICS,2021,11,C21-08-01.3
2669482,SPIE DEFENSE + COMMERCIAL SENSING,2023,11,C23-04-30
1766550,International Symposium on Grids & Clouds 2019,2019,10,C19-03-31
2104511,9th Asian Physics Symposium 2021,2021,10,C21-10-05.1
2667309,"IEEE International Conference on Acoustics, Speech and Signal Processing",2023,10,C23-06-04.3
1406710,28th Rencontres de Blois on Particle Physics and Cosmology,2016,10,C16-05-29
1984418,2nd International Conference on Applied Physics and Computing,2021,9,C21-09-08.2
1986532,"International Conference for High Performance Computing, Networking, Storage and Analysis",2021,9,C21-11-14.2
2000143,5th International Workshop on Deep Learning in Computational Physics,2021,9,C21-06-28.8
1769323,7th Annual Conference on High Energy Astrophysics in Southern Africa,2019,9,C19-08-28.1
1775839,70th International conference on Nuclear physics and elementary particle physics,2021,9,C20-05-26
1777583,21st International Conference on Cyclotrons and their Applications,2016,9,C16-09-11.8
2102106,"International Conference on Acoustics, Speech, and Signal Processing",2022,9,C22-05-22.3
1407039,International Conference on Laser Applications at Accelerators,2015,9,C15-03-25.1
1678035,4th International Workshop on Accelerator Radiation Induced Activation,2017,9,C17-05-22.9
1681519,3rd Zeldovich Meeting,2018,9,C18-04-23.2
2009335,14th International Conference  on Micro- and Nanoelectronics,2021,8,C21-10-04.7
1768134,12th International Workshop on Top Quark Physics,2019,8,C19-09-22.4
2084167,10th Symposium on Large TPCs for Low-Energy Rare Event Detection,2021,8,C21-12-15
2092838,56th Rencontres de Moriond on Very High Energy Phenomena in the Universe,2022,8,C22-03-19.1
2614768,"6th International Conference on Mechanics, Mathematics and Applied Physics",2022,8,C22-08-19
2615144,The Multifaceted Universe: Theory and Observations - 2022,2022,8,C22-05-23.8
1678191,The first MadAnalysis 5 workshop on LHC recasting,2017,8,C17-08-20.5
1949909,International Symposium on Grids & Clouds 2021,2021,7,C21-03-22
1974497,"A New Window on the Radio Emission from Galaxies, Clusters and Cosmic Web: Current Status and New Perspectives",2021,7,C21-03-08.1
2000584,Les Houches Summer School,2019,7,C19-07-01.11
1762932,Scientific Workshop on Nuclear Fission dynamics and the Emission of Prompt Neutrons and Gamma Rays,2019,7,C19-09-24.3
1770863,2nd International Workshop on Theory of Hadronic Matter Under Extreme Conditions,2019,7,C19-09-16.7
1776854,21st European Conference on Power Electronics and Applications,2019,7,C19-09-02.7
2643713,29th IEEE International Conference on Electronics Circuits and Systems,2022,7,C22-10-24.7
1406644,17th European Conference on Power Electronics and Applications,2015,7,C15-09-08.3
1408933,Unifying physics and technology in light of Maxwell's equations,2015,7,C15-11-16.4
1414665,2016 European School of High-Energy Physics,2016,7,C16-06-15
1966752,6th Workshop on Compact Steep Spectrum and GHz-Peakes Spectrum Radio Sources,2021,6,C21-05-10.4
1990555,17th ACM International Conference on Computing Frontiers,2020,6,C20-06-01.6
2000144,Geometric Foundations of Gravity 2021,2021,6,C21-06-28.9
1767398,Personnel Training and Legal Support for the Implementation of Research Projects of the MegaScience Class,2019,6,C19-06-20
1771143,XMM-Newton 2019 Science Workshop,2019,6,C19-06-12.2
2667501,SPIE Optics + Optoelectronics 2023,2023,6,C23-04-24.7
2669557,17th European Conference on Antennas and Propagation,2023,6,C23-03-26.1
1408073,IAU Symposium 317,2015,6,C15-08-03.4
1678345,Conference on Particles and Cosmology,2018,6,C18-03-05.1
1384062,Matey Mateev Symposium,2015,5,C15-04-17
1981526,40th Polish Astronomical Society Meeting,2021,5,C21-09-13.4
2005137,29th International Symposium on Discharges and Electrical Insulation in Vacuum,2021,5,C21-09-26.2
1765626,"5th International Conference on Mathematics, Science and Education 2018",2018,5,C18-10-08.7
1767218,"44th International Conference on Infrared, Millimeter, and Terahertz Waves",2019,5,C19-09-01.4
1778586,"23rd International School on Nuclear Physics, Neutron Physics and Applications",2019,5,C19-09-22.6
2650318,SPIE OPTO 2023,2023,5,C23-01-28.1
2665537,18th Modave Summer School in Mathematical Physics,2022,5,C22-09-05.13
2613127,24th European Conference on Power Electronics and Applications,2022,5,C22-09-05.11
2615886,National Physical Laboratory Joint Symposium on Quantum Technologies,2022,5,C22-09-12.11
2630659,17th Siam Physics Congress,2022,5,C22-06-22.4
2635989,14th IEEE International Conference on Computational Intelligence and Communication Networks,2022,5,C22-12-04.2
1414840,SPIE Conference on Optics and Photonics,2015,5,C15-08-09.2
1376979,The International Conference on Gravitation and Cosmology / The 4th Galileo-Xu Guangqi Meeting,2015,4,C15-05-04.1
1377632,"3rd International Conference on Science & Engineering in Mathematics, Chemistry and Physics",2015,4,C15-01-31
1975321,HYPERFINE 2021,2021,4,C21-09-05.2
2000561,All-Russian Astronomical Conference 2021,2021,4,C21-08-23.6
1765644,18th Annual International Astrophysics Conference,2019,4,C19-02-18.4
1773190,Irreversible Processes in Nature and Technics,2019,4,C19-01-29
2076199,Experimental Applications of Artificial Intelligence for the Electron Ion Collider,2021,4,C21-09-07.2
2077996,SPIE PHOTONEX,2021,4,C21-09-28.1
2668219,11th International Conference on Physics and Its Applications,2022,4,C22-08-10
2668220,5th International Conference on 2023 Devices for Integrated Circuit,2023,4,C23-04-07
2614122,32th Astronomical Data Analysis Software and Systems,2022,4,C22-10-31.4
1960008,ESTRO,2021,3,C21-08-27
1969240,46th Vietnam Conference on Theoretical Physics,2021,3,C21-10-04.6
1975987,International Conference on Content-Based Multimedia Indexing,2021,3,C21-06-28.7
1988781,International Symposium on Symbolic and Algebraic Computation,2021,3,C21-07-18.1
1988789,22nd European Conference on Power Electronics and Applications,2020,3,C20-09-07.7
2000610,"1st International Conference on Electrical, Computer and Energy Technologies",2021,3,C21-12-09
2005151,IEEE Conference on Control Technology and Applications,2021,3,C21-08-08.1
2010780,34th Recontres de Physique de la Vallée d'Aoste,2021,3,C21-03-09.2
1767299,28th Astronomical Data Analysis Software and Systems,2018,3,C18-11-11.2
1768288,Teleparallel Gravity Workshop in Tartu,2020,3,C20-06-15.1
1776407,8th International Youth Scientific School-Conference,2019,3,C19-04-15.2
2077381,"IEEE International Conference on Electronics, Circuits and Systems",2021,3,C21-11-28
2077995,9th Applied Optics and Photonics China,2020,3,C20-11-30.4
2096244,Workshop on Feebly-Interacting Particles,2022,3,C22-10-17
2102108,"9th International Conference on ""Computing For Sustainable Global Development""",2022,3,C22-03-23.2
2102109,5th IEEE Workshop on Recent Advances in Photonics,2022,3,C22-03-04
2644384,1st International Conference on Fluid Dynamics and Computational Science,2022,3,C22-11-12
2665028,2022 IEEE International Conference on Emerging Electronics,2022,3,C22-12-11.2
2665643,6th European Congress on Radiation Protection,2022,3,C22-05-30.7
2667078,International Conference on Strongly Correlated Electron Systems,2022,3,C22-07-24.2
2667908,22nd Zimanyi School,2022,3,C22-12-05.6
2637979,32nd International Conference on Field-Programmable Logic and Applications,2022,3,C22-08-29.6
1408074,IAU Symposium 315,2015,3,C15-08-03.3
1413149,18th International Congress on Mathematical Physics,2015,3,C15-07-27.1
1693259,"18th International Conference on Geometry, Integrability and Quantization",2016,3,C16-06-03.1
1371089,4th Winter Workshop on Non-Perturbative Quantum Field Theory,2015,2,C15-02-02.4
1376813,1st Workshop on Applications of Novel Scintillators for Research and Industry,2015,2,C15-01-12
1940829,SPIE Optical Engineering + Applications 2021,2021,2,C21-08-01.1
1940830,12th International Conference on Clifford Algebras and their Applications in Mathematical Physics,2020,2,C20-08-03.6
1950920,ICRANet-ISFAHAN Astronomy Meeting,2021,2,C21-11-03.1
1953248,26th Geant4 Collaboration Meeting,2021,2,C21-09-20.7
1959381,"Perspectives in Particle, Cosmo- and Astroparticle Theory",2021,2,C21-04-21.1
1985411,"Summer 48th IEEE-SPIE Joint Symposium on Photonics, Web Engineering, Electronics for Astronomy and High Energy Physics Experiments",2021,2,C21-08-30.5
1989658,International Conference on Strongly Correlated Electron Systems,2021,2,C21-09-27.5
1990536,34th International Conference on High Performance Computing,2019,2,C19-06-16.3
2000586,Analytic and algebraic methods in physics XVIII,2021,2,C21-09-01
2005425,23rd European Conference on Power Electronics and Applications,2021,2,C21-09-06.11
1355462,2015 European  School of High-Energy Physics,2015,2,C15-09-02
1357354,7th High-Energy Physics International Conference in Madagascar,2015,2,C15-09-17
1762670,30th IUPAP Conference on Computational Physics 2018,2018,2,C18-07-29.2
1765265,Algebraic Structures in Perturbative Quantum Field Theory,2020,2,C20-03-30.1
1766682,7th European Workshop on Optical Fibre Sensors,2019,2,C19-10-01.1
1767222,IEEE International Conference on Dielectric Liquids,2019,2,C19-06-23.3
1767288,2nd Workshop on Numerical Modeling in MHD and Plasma Physics,2019,2,C19-10-10.1
1767300,29th Astronomical Data Analysis Software and Systems,2019,2,C19-10-06
1770215,Joint IMEKO TC1-TC7-TC13-TC18 Symposium,2019,2,C19-07-02.2
1774219,26th International Seminar Nonlinear Phenomena in Complex Systems,2019,2,C19-05-21
1776963,69th Electronic Components and Technology Conference,2019,2,C19-05-28.2
1777895,Eighteenth International Conference on Machine Learning and Applications,2019,2,C19-12-16.2
1778662,18th International Conference on Ion Sources,2019,2,C19-09-01.5
2081428,10th Applied Optics and Photonics China,2021,2,C21-07-23
2098049,32nd meeting of the Indian Association for General Relativity and Gravitation,2022,2,C22-12-19
2099895,5th Conference on Machine Learning and Systems,2022,2,C22-08-29.5
2628712,4th Annual Workshop on Extreme-scale Experiment-in-the-Loop Computing,2022,2,C22-11-14.4
1407417,Nambu Memorial Symposium,2016,2,C16-03-11
1413072,SPIE Conference on Optics and Photonics,2015,2,C15-08-09.1
1413796,5th International Conference on Models in Quantum Field Theory,2015,2,C15-09-21.3
1676309,42nd National Conference on Theoretical Physics,2017,2,C17-07-31.5
1677809,Cosmology on Small Scales 2018,2018,2,C18-09-26.1
1693264,12th Workshop on European Collaboration for Higher Education and Research in Nuclear Engineering & Radiological Protection,2016,2,C16-05-30.12
1373673,10th Siam Physics Congress,2015,1,C15-05-20.2
1377866,51st Winter School of Theoretical Physics,2015,1,C15-02-09.1
1380569,48th Fermilab Users Organization Annual Meeting,2015,1,C15-06-10.1
1382684,LHC Ski 2016,2016,1,C16-04-10
1936026,38th International Conference on Machine Learning Conference,2021,1,C21-07-18
1940258,23rd International Vacuum Electronics Conference,2022,1,C22-04-25
1968581,28th National (Virtual) Conference on Condensed Matter Physics,2020,1,C20-12-11.1
1970778,NanoInnovation 2020,2020,1,C20-09-15.1
1970805,"SPIE Quantum Information Science, Sensing, and Computation XIII",2021,1,C21-04-12.3
1972690,IAUS 364: Multi-scale (time and mass) Dynamics of Space Objects,2021,1,C21-10-18.5
1987241,"1st International Conference on Applied Mathematics, Modeling and Simulation in Engineering",2021,1,C21-09-15.2
1988797,19th RoEduNet Conference,2020,1,C20-12-11.2
