,url,n_papers,series,number,title,opening_date,closing_date,acronym
0,https://inspirehep.net/api/conferences/1847040,2,HADRON,,19th International Conference on Hadron Spectroscopy and Structure,2021-07-26,2021-08-01,HADRON 2021
1,https://inspirehep.net/api/conferences/1774115,36,LHCP,,10th Large Hadron Collider Physics Conference,2022-05-16,2022-05-21,LHCP2022
2,https://inspirehep.net/api/conferences/1788497,10,DIS,,28th International Workshop on Deep Inelastic Scattering and Related Subjects,2021-04-12,2021-04-16,DIS2021
3,https://inspirehep.net/api/conferences/1707423,42,ICHEP,,41st International Conference on High Energy Physics,2022-07-06,2022-07-13,ICHEP 2022
4,https://inspirehep.net/api/conferences/2064675,10,QM,,29th International Conference on Ultra-relativistic Nucleus-Nucleus Collisions,2022-04-04,2022-04-10,Quark Matter 2022
5,https://inspirehep.net/api/conferences/1835249,22,EPS-HEP,,European Physical Society Conference on High Energy Physics 2021,2021-07-26,2021-07-30,EPS-HEP2021
6,https://inspirehep.net/api/conferences/2079305,3,Diffraction,,Diffraction and Low-x 2022,2022-09-24,2022-09-30,Difflowx2022
7,https://inspirehep.net/api/conferences/1803127,1,SNOWMASS,,Snowmass 2021,2022-07-17,2022-07-26,
8,https://inspirehep.net/api/conferences/1852936,2,ISMD,,51st International Symposium on Multiparticle Dynamics,2022-08-01,2022-08-05,ISMD2022
9,https://inspirehep.net/api/conferences/1939199,11,Rencontres de Moriond,,56th Rencontres de Moriond  on QCD and High Energy Interactions ,2022-03-19,2022-03-26,Moriond 2022 QCD
10,https://inspirehep.net/api/conferences/1852584,2,Rencontres de Moriond,,55th Rencontres de Moriond on Electroweak Interactions and Unified Theories,2021-03-21,2021-03-27,Moriond EW 2021
11,https://inspirehep.net/api/conferences/2167197,2,Rencontres de Moriond,,57th Rencontres de Moriond on QCD and High Energy Interactions,2023-03-25,2023-04-01,Moriond QCD 2023
12,https://inspirehep.net/api/conferences/1868067,3,BEACH,,"14th International Conference on Beauty, Charm and Hyperons ",2022-06-05,2022-06-11,BEACH 2022
13,https://inspirehep.net/api/conferences/1850995,2,ACAT,,20th International Workshop on Advanced Computing and Analysis Techniques in Physics Research,2021-11-29,2021-12-03,ACAT 2021
14,https://inspirehep.net/api/conferences/2649155,1,SSP,,8th International Symposium on Symmetries in Subatomic Physics,2022-08-29,2022-09-02,SSP 2022
15,https://inspirehep.net/api/conferences/1908990,2,DISCRETE,,7th Symposium on Prospects in the Physics of Discrete Symmetries,2021-11-29,2021-12-03,DISCRETE 2020-2021
16,https://inspirehep.net/api/conferences/2106296,6,FPCP,,21st Conference on Flavor Physics and CP Violation,2023-05-29,2023-06-02,FPCP 2023
17,https://inspirehep.net/api/conferences/1897159,4,Lomonosov,,20th Lomonosov Conference on Elementary Particle Physics,2021-08-19,2021-08-25,
18,https://inspirehep.net/api/conferences/1794610,13,PANIC,,Particles and Nuclei International Conference ,2021-09-05,2021-09-10,PANIC 2021
19,https://inspirehep.net/api/conferences/2630390,5,SIF,,108th Congresso Nazionale della Societa Italiana di Fisica,2022-09-12,2022-09-16,SIF 2022
20,https://inspirehep.net/api/conferences/1869339,4,TOP,,15th International Workshop on Top Quark Physics,2022-09-04,2022-09-09,TOP2022
21,https://inspirehep.net/api/conferences/1920197,1,CKM,,11th International Workshop on the CKM Unitarity Triangle,2021-11-22,2021-12-26,CKM 2021
22,https://inspirehep.net/api/conferences/2086341,7,DIS,,30th International Workshop on Deep-Inelastic Scattering and Related Subjects,2023-03-27,2023-03-31,DIS2023
23,https://inspirehep.net/api/conferences/2182272,1,INPC,,28th International Nuclear Physics Conference,2022-09-11,2022-09-16,INPC 2022
24,https://inspirehep.net/api/conferences/1920868,1,Rencontres de Blois,,32nd Rencontres de Blois on Particle Physics and Cosmology,2021-10-17,2021-10-22,Blois 2021
25,https://inspirehep.net/api/conferences/2063889,2,,,CORFU2022: 22th Hellenic School and Workshops on Elementary Particle Physics and Gravity,2022-08-28,2022-10-01,CORFU2022
26,https://inspirehep.net/api/conferences/1839514,3,ICNFP,,9th International Conference on New Frontiers in Physics,2020-09-04,2020-10-02,ICNFP 2020
27,https://inspirehep.net/api/conferences/2047781,1,CORFU,,21st Hellenic School and Workshops on Elementary Particle Physics and Gravity,2021-08-29,2021-09-08,CORFU2021
28,https://inspirehep.net/api/conferences/2034613,1,QCD@Work,,10th International Workshop on QCD - Theory and Experiment,2022-06-27,2022-06-30,QCD@Work 2022
29,https://inspirehep.net/api/conferences/1939198,1,Rencontres de Moriond,,56th Rencontres de Moriond on Electroweak Interactions and Unified Theories,2022-03-12,2022-03-19,Moriond 2022 EW
30,https://inspirehep.net/api/conferences/2049969,1,TWEPP,,Topical Workshop on Electronics for Particle Physics,2022-09-19,2022-09-23,TWEPP-22
31,https://inspirehep.net/api/conferences/2113205,1,DISCRETE,,8th Symposium on Prospects in the Physics of Discrete Symmetries,2022-11-07,2022-11-11,DISCRETE 2022
32,https://inspirehep.net/api/conferences/2134115,4,SIF,,107th Congresso Nazionale della Societa Italiana di Fisica,2021-09-13,2021-09-17,SIF 2021
33,https://inspirehep.net/api/conferences/1812016,3,TOP,,14th International Workshop on Top Quark Physics,2021-09-13,2021-09-17,TOP2021
34,https://inspirehep.net/api/conferences/2634374,1,TOP,,16th International Workshop on Top Quark Physics,2023-09-24,2023-09-29,Top2023
35,https://inspirehep.net/api/conferences/1996471,1,IDM,,14th International Workshop on the Identification of Dark Matter 2022,2022-07-18,2022-07-22,IDM2022
36,https://inspirehep.net/api/conferences/1914251,1,NuFact,,22nd International Workshop on Neutrinos from Accelerators,2021-09-06,2021-09-11,NuFact2021
37,https://inspirehep.net/api/conferences/1827393,1,SQM,,20th International Conference on Strangeness in Quark Matter 2022,2022-06-13,2022-06-18,SQM2022
38,https://inspirehep.net/api/conferences/2636564,1,LCWS,,International Workshop on Future Linear Colliders,2023-05-15,2023-05-19,LCWS 2023
39,https://inspirehep.net/api/conferences/1266336,1,ICHEP,,10th International Conference on High Energy Physics,1960-08-25,1960-09-01,ICHEP 60
40,https://inspirehep.net/api/conferences/2027559,1,QCD-Montpellier,,25th International Conference in Quantum Chromodynamics,2022-07-04,2022-07-07,QCD 22
41,https://inspirehep.net/api/conferences/2632633,1,Cracow Epiphany,,29th Cracow Epiphany Conference on Physics at the Electron-Ion Collider and Future Facilities,2023-01-16,2023-01-19,Epiphany2023
42,https://inspirehep.net/api/conferences/1677252,1,ICHEP,,40th International Conference on High Energy Physics,2020-07-30,2020-08-05,ICHEP2020
43,https://inspirehep.net/api/conferences/1914506,1,DIS,,29th International Workshop on Deep-Inelastic Scattering and Related Subjects,2022-05-02,2022-05-06,DIS2022
